FACHKUERZEL;FACHNAME;MODULKUERZEL;MODULBEZEICHNUNG;MODULVERANTWORTUNG;UUID;Spalte1;Spalte2
ENT E 2;Technisches Englisch Seminar Gruppe 2;1325;Technisches Englisch;Bockemühl-Simon, Tuula;9f464cde-5237-4832-a7ec-23afc46cf4eb;;
BA1 WI V;Betriebliche Anwendungssysteme 1;1333;Betriebliche Anwendungssysteme I;Westenberger, Hartmut;65a319e8-788c-4469-ade1-a10566d87a4a;;
AP1 AI ITM MI WI TUT;Algorithmen und Programmierung 1;1341;Algorithmen und Programmierung I;Victor, Frank;dca56fa6-1952-4b47-bf60-3dcb32e86ada;;
AP1 AI ITM MI WI UE;Algorithmen und Programmierung 1;1341;Algorithmen und Programmierung I;Victor, Frank;dca56fa6-1952-4b47-bf60-3dcb32e86ada;;
AP1 AI ITM MI WI V;Algorithmen und Programmierung 1;1341;Algorithmen und Programmierung I;Victor, Frank;dca56fa6-1952-4b47-bf60-3dcb32e86ada;;
AP1 AI P;Algorithmen und Programmierung 1;1341;Algorithmen und Programmierung I;Victor, Frank;dca56fa6-1952-4b47-bf60-3dcb32e86ada;;
AP1 ITM P;Algorithmen und Programmierung 1;1341;Algorithmen und Programmierung I;Victor, Frank;dca56fa6-1952-4b47-bf60-3dcb32e86ada;;
AP1 MI P;Algorithmen und Programmierung 1;1341;Algorithmen und Programmierung I;Victor, Frank;dca56fa6-1952-4b47-bf60-3dcb32e86ada;;
AP1 WI P;Algorithmen und Programmierung 1;1341;Algorithmen und Programmierung I;Victor, Frank;dca56fa6-1952-4b47-bf60-3dcb32e86ada;;
BW1 BB;Grundlagen der Betriebswirtschaftslehre;1353;Grundlagen der Betriebswirtschaftslehre;Klein, Torsten;998bb217-b8a0-431d-b38f-1de5e9bbd5b5;;
BW1 BB;Grundlagen der Betriebswirtschaftslehre;1353;Grundlagen der Betriebswirtschaftslehre;Engelen, Monika;998bb217-b8a0-431d-b38f-1de5e9bbd5b5;;
MG1 M B;Marketing 1;1364;Marketing I;Engelen, Monika;c810d20c-ba42-4943-8c5d-7e7520e4da00;;
MES E A;Messsysteme und Sensorik;1366;Messsysteme;Baerwolff, Hartmut;;;
MES E A;Messsysteme und Sensorik;1366;Messsysteme;Bergfeld, Stefan;;;
CON M;Controlling;1367;Controlling;Eckstein, Stefan;ecd5f575-5615-46ef-ba77-2f974db6d6d0;;
MAA A;Angewandte Mathematik;1368;Angewandte Mathematik;Mersmann, Olaf;315b421f-50fc-44a0-b584-8b38c9f53c87;;
FEM M C;Höhere Festigkeitslehre / Finite Elemente;1372;Höhere Festigkeitslehre / Finite Elemente oder industrielle Projektarbeit FEM;Tichelmann, Patrick;dfabe6dd-6f9a-498d-912e-3bb84fe68bee;;
BIL M;Unternehmenslogistik;1378;Produktion und Logistik (BWL 4);, ;d15381d3-4145-44d0-b64b-677ff57d86c0;;
ALG AI P;Algorithmik;1404;Algorithmik;Gaida, Daniel;21723454-3c3e-4ebe-ade0-82eacb69b185;;
ALG AI UE;Algorithmik;1404;Algorithmik;Gaida, Daniel;21723454-3c3e-4ebe-ade0-82eacb69b185;;
ALG AI V;Algorithmik;1404;Algorithmik;Gaida, Daniel;21723454-3c3e-4ebe-ade0-82eacb69b185;;
STH E A;Systemtheorie;1411;Systemtheorie;Zakrevski, Juri;072df25e-392e-49e7-98c1-400e3fc9f315;;
LEL E A;Leistungselektronik ;1416;Leistungselektronik;Klein, Christoph;;;
AUS E;Automatisierungssysteme;1424;Automatisierungssysteme;Klasen, Frithjof;3537405c-8d14-45c9-b465-61f3d623a947;;
AUS E;Automatisierungssysteme;1424;Automatisierungssysteme;Hackelöer, Felix;3537405c-8d14-45c9-b465-61f3d623a947;;
MG2 M B;Marketing 2;1427;Marketing II;Engelen, Monika;;;
WKII M;Werkstoffkunde II;1449;Werkstoffkunde (Kunststoffe, Glas, Keramik);Katrakova-Krüger, Danka;3a5c00ce-c2a9-4d28-aa40-4968b7540448;;
WKII M;Werkstoffkunde II;1449;Werkstoffkunde (Kunststoffe, Glas, Keramik);Harraß, Michael;3a5c00ce-c2a9-4d28-aa40-4968b7540448;;
PH1 BB;Physik 1;1468;Physik;Kraft, Sebastian;3a4077fa-fb35-4e83-a54f-1473522c57c9;;
PH1 BB;Physik 1;1468;Physik;Zakrevski, Juri;3a4077fa-fb35-4e83-a54f-1473522c57c9;;
PH1 BB;Physik 1;1468;Physik;Röttger, Katharina;3a4077fa-fb35-4e83-a54f-1473522c57c9;;
PH2 B;Physik 2;1468;Physik;Röttger, Katharina;7fd5e446-6eb7-4f6b-8cb7-cab7ae8e5e84;;
PH2 B;Physik 2;1468;Physik;Zakrevski, Juri;7fd5e446-6eb7-4f6b-8cb7-cab7ae8e5e84;;
PH2 B;Physik 2;1468;Physik;Kraft, Sebastian;7fd5e446-6eb7-4f6b-8cb7-cab7ae8e5e84;;
ING E A;Ingenieurethik Doz: BO&SF;1473;Ingenieurethik;Bongards, Michael;e755147d-a8ce-4e9f-babe-1c2959a68973;;
ING E A;Ingenieurethik Doz: BO&SF;1473;Ingenieurethik;Stumpf, Siegfried;e755147d-a8ce-4e9f-babe-1c2959a68973;;
FUI WI V;Finanzierung und Investition;1476;Finanzierung & Investition (BWL 6);Werner, Christina;bea321ef-8859-415d-aca2-a7e37a8ad68a;;
FUIMB;Finanzierung und Investition;1476;Finanzierung & Investition (BWL 6);Werner, Christina;bea321ef-8859-415d-aca2-a7e37a8ad68a;;
ANS E A;Analoge Systeme;1480;Analoge Systeme;Kampmann, Andreas;;;
DIS E A;Digitale Systeme;1482;Digitale Systeme;Buchmann, Ludger;;;
DIS E A;Digitale Systeme;1482;Digitale Systeme;Klein, Christoph;;;
EP MMW;Energieeffiziente Produktion (alt);1498;Energieeffiziente Produktion (alt);Nachfolger, ;8586a27e-dfcd-4d6c-9401-49e760c18661;;
PT PPDM;Großes Projekt;1503;Großes Projekt;Laubersheimer, Wolfgang;069ab61c-b54a-48b5-815d-117fc9de829c;;
PT PPDM;Großes Projekt;1503;Großes Projekt;Pyschny, Nicolas;069ab61c-b54a-48b5-815d-117fc9de829c;;
KTN AI ITM MI WI V;Kommunikationstechnik und Netze;1537;Kommunikationstechnik und Netze;Stahl, Hans L.;d53f45b2-625b-4d4b-aabe-7f879d28082a;;
EMI MI S;Einführung in die Medieninformatik;1567;Einführung in die Medieninformatik;Noss, Christian;54b04915-f170-4924-8f77-eb675f042682;;
EMI MI S;Einführung in die Medieninformatik;1567;Einführung in die Medieninformatik;Blümm, Mirjam;54b04915-f170-4924-8f77-eb675f042682;;
EMI MI S;Einführung in die Medieninformatik;1567;Einführung in die Medieninformatik;Hartmann, Gerhard;54b04915-f170-4924-8f77-eb675f042682;;
EMI MI S;Einführung in die Medieninformatik;1567;Einführung in die Medieninformatik;Fischer, Kristian;54b04915-f170-4924-8f77-eb675f042682;;
EMI MI S;Einführung in die Medieninformatik;1567;Einführung in die Medieninformatik;Kornacher, Hans;54b04915-f170-4924-8f77-eb675f042682;;
EMI MI S;Einführung in die Medieninformatik;1567;Einführung in die Medieninformatik;Kohls, Christian;54b04915-f170-4924-8f77-eb675f042682;;
EMI MI S;Einführung in die Medieninformatik;1567;Einführung in die Medieninformatik;Lindt, Irma;54b04915-f170-4924-8f77-eb675f042682;;
EWI V WI;Einführung in die Wirtschaftsinformatik;1575;Einführung in die Wirtschaftsinformatik;Günther, Holger;89bed5ac-8457-406a-8674-4650e74506f5;;
BWL1 ITM MI WI V;Betriebswirtschaftslehre 1 (Inf);1576;BWL I - Grundlagen;Engelen, Monika;998bb217-b8a0-431d-b38f-1de5e9bbd5b5;;
BWL1 ITM MI WI V;Betriebswirtschaftslehre 1 (Inf);1576;BWL I - Grundlagen;Klein, Torsten;998bb217-b8a0-431d-b38f-1de5e9bbd5b5;;
DBS AI ITM MI WI V;Datenbanksysteme / Datenbanken;1577;Datenbanksysteme;Bertelsmeier, Birgit;89e8ffd6-266f-4553-8937-b0a9335164b5;;
DBS AI ITM MI WI V;Datenbanksysteme / Datenbanken;1577;Datenbanksysteme;Schaible, Johann;89e8ffd6-266f-4553-8937-b0a9335164b5;;
BA2 WI V;Betriebliche Anwendungssysteme 2;1579;Betriebliche Anwendungssysteme II;Victor, Frank;dd91f352-9546-48c2-af01-cdbe4feaeabe;;
PPS MI;Praxisprojektseminar;1626;Praxisprojekt;Noss, Christian;d19a1d22-dbea-4771-b878-5e2edc0e9f80;;
FAE IMSE;Fachspezifischer Architekturentwurf (DE) (WPF A in MMI);1632;Fachspezifischer Architekturentwurf (German);Bente, Stefan;;;
GPM IM;Geschäftsprozessmodellierung und -optimierung;1637;Geschäftsprozessmanagement (German);Zapp, Matthias;7772bd20-0431-4dfd-9392-5f5611600134;;
MUU IM;Management und Unternehmenssteuerung (DE);1638;Management und Unternehmenssteuerung (German);Klein, Torsten;1cf030cd-f0e5-4fe6-9430-0a4b4fbb308c;;
OR IM;Operations Research (EN);1641;Operations Research (English);Naujoks, Boris;9505eb2c-3068-449a-8e69-9c5986887f58;;
DM IM;Data Mining (EN);1642;Data Mining (English);Mersmann, Olaf;;;IM
DM IM;Data Mining (EN);1642;Data Mining (English);Zühlke, Dietlind;;;IM
BA IM;Business Administration (EN);1645;Business Administration (English) - Finance & Accounting;Werner, Christina;;;IM
GP I IM DE;Guided Project I (DE);1646;Guided Project I (German);Dozent, Jeder;;;IM
GP I IM DE;Guided Project I (DE);1646;Guided Project I (German);Bente, Stefan;;;IM
GP I IM DE;Guided Project I (DE);1646;Guided Project I (German);Stumpf, Siegfried;;;IM
